id,title,price,sold,condition,assurance,weight,seller,description
10,TERMURAH ORIGINAL Buku Logika Algoritma & Pemrograman Dasar - Rosa A S,Rp141.800,Terjual 75 Produk,Baru,Opsional,965gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Penerbit : Modula
Penulis : Rosa A. S.
Tahun : 2018
Tebal Buku : 866 Halaman
Berat : 965

Pembahasan Buku :
- Pendahuluan Algoritma dan Pemrograman
- Komentar
- Tipe Data
- Masukan (Input) dan Jeluaran (Output)
- Operator
- Array (Larik)
- Percabangan / Pemilihan IF
- Perulangan (Looping)
- Prosedur
- Fungsi
- Matriks Dalam Larik (Array) Dua Dimensi
- Rekursif
- Pengurutan (Sorting)
- Penggabungan Larik
- Pencarian (Searching)
- Arsip Beruntun (Sequential File)
- Mesin Abstrak
- Flowchart

Algoritma harus dibuat secara runut agar komputer mengerti dan mampu mengeksekusinya. Analisis kasus sangat dibutuhkan dalam membuat sebuah algoritma, misalnya proses apa saja yg sekiranya dibutuhkan untuk menyelesaikan masalah yg harus diselesaikan. Ketajaman dalam menganalisis sebuah kasus dapat dilatih dengan berlatih menyelesaikan kasus-kasus algoritma, mulai dari yg paling sederhana sampai rumit. Kesabaran sangat dibutuhkan dalam mempelajari algoritma.

Esensi dari belajar algoritma adalah membuat solusi untuk menyelesaikan permasalahan, jadi hasilnya adalah dapat menyelesaikan permasalahan. Maka sangat tidak sesuai dengan esensi jika algoritma dipelajari dengan hanya tahu pola-pola atau teknik-teknik algoritma tapi tidak mampu secara logika menyelesaikan masalah yg berbeda-beda. Maka dari itu sangat dibutuhkan latihan soal dalam mempelajari algoritma dan pemrograman agar logika terlatih untuk membuat solusi dari permasalahan."
11,Buku Arduino: Belajar Cepat dan Pemrograman,Rp55.000,Terjual 58 Produk,Baru,Opsional,480gr,Buku ID,"Bahasan Meliputi :
- Konsep Listrik dan Elektronika
- Pengenalan Berbagai Macam Arduino Board
- Penggunaan Board Arduino NG/ Older (Severino), Arduino Uno, Arduino Mega 2560, Arduino Mega ADK
- Pengenalan Software IDE Arduino
- Bahasa Pemrograman Arduino berbasis C
- Input/ Output Digital Arduino
- Input/ Output Analog Arduino"
12,TERMURAH ORIGINAL Buku Pemrograman Android FLUTTER + CD - BUDI RAHARJO,Rp74.800,Terjual 127 Produk,Baru,Opsional,460gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Judul : Pemrograman Android dengan Flutter + CD
Penulis : Budi Raharjo
Penerbit : Informatika
Terbitan : April 2019

Salah satu frarnework atau Software Development
Kit (SDK) untuk pengembangan aplikasi mobile yang dapat berjalan di
sistem operasi iOS dan Android. Meskipun Flutter dapat digunakan untuk
aplikas iOS. namun buku ini hanya membahas tentang
penggunaan Flutter untuk Android Flutter diciptakan oleh Google dan
dirilis pertama kall pada Mei 2017 (versi alpha). Pada Desernber 2018,
Google meluncurkan Flutter 1.0.0 (versi stabil). Flutter menggunakan
bahasa pernrograman Dart, yang juga diciptakan oleh Google dan dirilis
pertama kali pada Oktober 2013. Flutter merupakan framework baru yang
dirancang untuk rnempermudah dan mempercepat proses, yang dulunya harus ditulis menggunakan Objective-C atau Switt
(untuk i0S) dan Java atau Kotlin (untuk Androld). Dengan Flutter. kita
hanya perlu mernpelajari satu bahasa pemrograrnan (Dart) untuk membuat
aplikasi mobile yang dapat berjalan di dalam dua sistem operasi, iOS dan
Android.

Buku ini disapkan untuk membantu Anda dalam
mempelalari dasar-dasar aplikasi Android menggunakan Flutter
mulai dari nol. Pembahasan materi dalam buku ini dilakukan secara bertahap dan berurutan; mulai dari pengenalan Flutter dan Dart, instalasi"
13,PEMROGRAMAN ANDROID DENGAN FLUTTER DAN DART + CD,Rp73.000,Terjual 101 Produk,Baru,Ya,600gr,Belajar PHP,"Pengarang : Budi Raharjo
Penertbit : Informatika
Tahun Terbit : Mei 2019
Halaman : 368 Hlm

Buku ini berisi teknik teknik yang di perlukan untuk membuat aplikasi android menggunakan flutter, salah satu framework atau software developement kit (SDK) untuk pengembangan aplikasi mobile yang dapat berjalan di sistem operasi iOS dan android. meskipun flutter dapat digunakan untuk membuat aplikasi iOS , namun buku ini hanya membahas tentang penggunaan flutter untuk android.

Flutter diciptakan oleh google dan dirilis pertama kali pada mei 2017 versi alpha. pada Desember 2018 , googe meluncurkan flutter 1.0.0( versi stabil) flutter menggunakan bahasa pemrograman Dart, yang juga diciptakan oleh google dan dirilis pertama kali pada oktober 2013. Flutter merupakan framework baru yang dirancang untuk mempermudah danmempercepat proses membangun aplikasi mobile , yang dulunya harus ditulis menggunakan objective-c atau swift utuk ios. dan java atau kotlin untuk android. dengan Flutter, kita hanya mempelajari satu bahasa pemrograman (Dart) untuk embuat aplikasi mobile yang dapat berjalan didalam dua sistem operasi, iOS dan Android.

Buku ini disajikan untuk membantu anda dalam mempelajari dasar dasar membangun aplikasi android menggunakan flutter mulai dari nol. Pembahasan materi dalam buku ini dilakukan secara bertahap dan berurutan; mulai dari pengenalan Flutter dan Dart. installasi software yang dibutuhkan, konsep konsep esensial dalam bahasa pemrograman Dart, eksploreasi kelas kelas yang disediakan oleh Flutter, sampai ke penggunaan pustaka-pustaka umum yang dikembangkan oleh pihak ketiga.

Flutter bersifat cross-platform yang dapat dijalankan didalam komputer dengan sistem operasi Linux, windows, maupun MacOS. Dengan demikian anda dapat mempelajari flutter menggunakan ketiga sistem operasi tersebut

cek buku flutter lainnya --> https://www.tokopedia.com/belajar-php?keyword=flutter"
14,Buku Konsep dan Implementasi Pemrograman Laravel 7 Edisi Best Practice,Rp58.000,Terjual 82 Produk,Baru,Opsional,260gr,Buku ID,"Penulis/Pembuat : Lukmanul Hakim
Kode Produk : LOKO-188
ISBN : 978-602-6231-25-3
Tahun Terbit : Juni 2020
Jumlah Halaman/Durasi : 200
Bonus : Source Code

Buku ini akan membantu anda untuk mempelajari laravel 7 dengan mudah

Berikut beberapa materi yang dibahas didalam buku :
- Instalasi Laravel
- Composer dan Artisan
- Memahami Routing
- Blade Template Engine
- Database Migration
- Flash Message
- Penggunaan View dan Controller
- Validation dan Pagination
- Authentication (Login/Level User)
- Admin System (Back-End)
- Halaman Pengunjung (Front-End)
- Teknik Upload File/Foto
- Resize Image (Thumbnail)
- Model: Easy CRUD
- Eloquent: Relationship One to Many
- SEO URL Friendly
- Membuat Modul Album
- Membuat Modul Galeri Foto
- Membuat Modul Manajemen User
- Upload Proyek Laravel ke Hosting
- Security Modul dengan Middleware"
15,"Buku sakti pemrograman web HTML, CSS, PHP, MYSQL & JAVASCRIPT",Rp50.000,Terjual 117 Produk,Baru,Ya,300gr,Omviral Online Shop,"Mengapa beli ditempat kami :

Buku original , jaminan pasti sampai, harga terjangkau, packing aman free buble, klo paket salah kirim atau tidak sesuai bisa di retur atau tukar, trus ongkirnya siapa yang tanggung? tenang kami yang tanggung ,

Buku ini mengenalkan bagian dari sebuahpembentukan pemrograman web dan menyajikan langkahlangkah perogrm yang disususn sedara terstruktur. dengan adanya langkahlangkah program tersebut, diharapkan pembaca dapat mempraktikkan secara langsung dan dapat menyimpulna sendiri maksud dari setiap perintah dlamprogram dengan cara melihat hasil yang ditampilkan diweb browser.

buku ini sangat cocok bagi pembaca pemula yang baru memulai dunia pemrograman secra mandiri karena langkah langkah dalam buku ini disajikan sesederhana mungkin. Buku ini juga cocok digunakan sebagai bahan pembelajaran, baik di perguruan tinggi, sekolah mapun kursus kursus.

Mulai dari HTML dasar, pengenalan server , CSS php dan javascript semuanya dijabarkan denganbahasa yang sederhana namun tetap tak mengurangi konten yang ada. Selamat coding.!!"
16,"Buku sakti HTML, CSS & Javascript : Pemrograman Web itu Gampang",Rp54.500,Terjual 56 Produk,Baru,Opsional,250gr,Buku ID,"Nomor ISBN : 978-623-7324-51-5
Jenis Cover : Ivory 210 gram (SOFTCOVER)
Kertas Isi : Bookpapper (BW)
Tebal Buku : 268 Halaman

Bagi yang mau packing lebih aman, kami menghimbau add to cart/ Tambahkan dalam pembelian paket, Semakin banyak semakin aman.

https://www.tokopedia.com/idbuku/bubble-wrap-untuk-tambahan-packing"
17,DataCamp Premium Subscription (2 Months),Rp150.000,Terjual 109 Produk,Baru,Opsional,50gr,Dyhaz,"DataCamp Online Course Premium Access

Premium access untuk mengakses semua materi pada DataCamp (courses, projects, mobile app). Berlaku hingga 21 Januari 2021. Pengaktifan menggunakan sistem invite tim jadi hanya membutuhkan email aktif untuk upgrade ke account premium.

Cara pemesanan
> Masukkan produk ke keranjang lalu checkout.
> Cantumkan email aktif (bisa yang sudah terdaftar atau belum) di catatan.
> Lanjutkan ke pembayaran dengan pilihan yang tersedia.
> Order diproses jika pembayaran terkonfirmasi.

!!!Alamat Pengiriman menggunakan alamat asli, karena bukti pembelian tetap akan dikirim karena harus pakai kurir!!!

DataCamp merupakan platform pembelajaran interaktif untuk mendalami data science. bahasa pemrograman R, Python, SQL & Spark yang dapat diakses dari browser dengan pilihan lebih dari 100 kursus.

==============================================================
Keyword

Akun datacamp murah, Belajar python, kursus big data, Analytics, Database, Data insight, Visualization, Marketing, Decision Making, Data science, Cloud, NoSQL, XML, BI, Business intelligence, data-driven"
18,TERMURAH ORIGINAL Buku Pemrograman C Dan C++,Rp59.100,Terjual 70 Produk,Baru,Opsional,345gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Penerbit : Informatika
Pengarang : Adam Mukharil Bachtiar
Tahun : 2018
Tebal Buku : 290 Halaman

Pembahasan Buku :
- Program Pertama C dan C ++
- Tipe Data, variabel, dan Operasi Perhitungan
- Input dan Output Data
- Percabangan
- Perulangan
- Functoin
- Array
- Struct
- String dan Manipulasinya
- Pointer
- Operasi File

Buku Pemrograman C & C++ ini ditujukan untuk pengembang perangkat lunak pemula, mahasiswa, dosen atau siapapun yg ingin mempelajari lebih dalam mengenai konsep dan fundamental dari Bahasa C dan C++. Buku ini berisi pembahasan teknis dari bahasa pemrograman c dan c++, diawali dengan pembahasan tingkat dasar hingga tingkat menengah seperti pengenalan tipe data, input dan output data, percabangan, perulangan, function, array, struct, string dan manipulasinya, pointer hingga penggunaan operasi file. Buku ini juga dilengkapi dengan contoh program berdasarkan studi kasus yg menarik dan mudah untuk diterapkan, sehingga pembaca akan lebih mudah untuk memahami materi yg disampaikan."
19,Buku Jalan Pintas Menjadi Master ReactJS,Rp79.500,Terjual 55 Produk,Baru,Opsional,300gr,Buku ID,"BUKU VERSI HITAM PUTIH = TIDAK BERWARNA

Penulis/Pembuat : Lukmanul Hakim
Kode Produk : LOKO-182
ISBN : 978-602-62311-9-2
Tahun Terbit : Oktober 2018
Jumlah Halaman/Durasi : 114
Bonus : CD Video Tutorial dan Full Color

Pengen tau caranya bikin Aplikasi Zaman Now? Anda harus kenal dengan ReactJS, sebuah library Javascript untuk membangun User Interface yang dibuat oleh Facebook. Aplikasi yang dibuat ReacJS terlihat super cepat, stabil, responsif, interaktif dan cool.

Banyak perusahaan ternama yang menggunakan React, terutama startup, seperti Gojek, Grab, Traveloka, Tokopedia, Bukalapak, Netflix, BBC, Instagram, Paypal, WhatsApp, Dropbox, Airbnb dan Facebook tentunya.

Buku ini diawali dengan Pengenalan ReactJS, Cara Termudah Instalasi React, Dasar React (Component, Props, State, Event, Router, Transition, JSON), kemudian diterapkan dalam membuat proyek aplikasi nyata, seperti Aplikasi Aktivitas Harian, Aplikasi Homestay dan Single Page Application.

Selain itu, buku disajikan dalam bentuk Langkah demi Langkah disertai Visualisasi Diagram. Penjelasan tiap baris code yang telah disederhanakan sedemikian rupa. Format buku Full Color (semua halaman berwarna yang akan memanjakan mata Anda dalam menikmati pembelajaran React).

Dengan begitu, buku ini sangat praktis dan aplikatif, dirancang untuk 7 jam masa pembelajaran, sehingga Anda dapat menguasai ReactJS dengan cepat. Untuk lebih memudahkan Anda, disertakan pula CD berisi Software, Source Code dan Video Tutorial."
20,"Buku Pengantar Logika Informatika, Algoritma Dan Pemrograman Komputer",Rp30.400,Terjual 77 Produk,Baru,Opsional,174gr,Buku ID,"Kategori(Sub): Komputer (Literatur Komputer)
ISBN: 979-763-004-8
Penulis: Heri Sismoro, S.Kom.
Ukuran'Halaman: 14x21 cm' ' x+102 halaman
Edisi'Cetakan: I, 5th Published
Tahun Terbit: 2006

Buku Pengantar Logika Informatika, Algoritma, dan Pemrograman Komputer memberikan penjelasan tentang dasar-dasar logika, algoritma, serta pemrograman komputer. Pada setiap contoh algoritma penyelesaian masalah selalu diserta dengan contoh implementasinya pada bahasa pemrograman, sehingga pembaca dapat langsung memahami bagaimana menyajikan algoritma yang baik serta mengimplementasikannya dalam bentuk program.
Bahasa pemrograman QBasic dipilih sebagai contoh implementasi algoritma, karena bahasa tersebut mudah dipelajari oleh programmer pemula.

Pokok bahasan buku ini meliputi :
Logika Informatika
- Logika Proposisional
- Logika Predikat
- Logika Kombinasional

Algoritma
- Pseudocode
- Flowchart

Pemrograman
- Struktur Runtunan
- Struktur Percabangan
- Struktur Perulangan
- Subrutin
- Rekursi

Pada akhir bab disajikan contoh soal dan penyelesaiannya (algoritma, program, dan keluarannya, serta latihan soal-soal latihan.

Selamat belajar, semoga Anda menjadi programmer yang handal''!!!"
21,TERMURAH ORIGINAL Buku Mudah Belajar Python - Budi Raharjo,Rp110.300,Terjual 203 Produk,Baru,Opsional,775gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1]

Python adalah bahasa pemrograman
multi-platform yang bersifat free dan open-source,
dan dapat digunakan untuk aplikasi aplikasi desktop maupun web. Python memiliki pustaka standar
(Python Standard Library) yang sangat lengkap sehingga dapat
memenuhi berbagai macam permasalahan-permasalahan riil di
dalam dunia pemrograman, sebagai alternatif dari bahasa-bahasa
pemrograman lain.

Dibandingkan dengan bahasa lain, Python memiliki sintaks yang lebih
sederhana dan mudah dipahami. Kesederhanaan sintaks Python
menjadikan bahasa ini banyak diminati oleh para programmer sebagai
alat untuk mengembangkan aplikasi-aplikasi yang mereka inginkan;
baik yang berjenis desktop, web, maupun aplikasi antarmuka untuk
mengakses mikrokontroler. Selain itu, Python juga banyak digunakan
sebagai sarana untuk mempelajari konsep-konsep algoritma,
pemrograman, dan struktur data bagi para mahasiswa; atau bahkan
bagi orang-orang yang sebelumnya tidak memiliki latar belakang
pengetahuan di bidang pemrograman komputer.

Edisi revisi buku ini hanya membahas tentang Python 3. Pembahasan
yang berkaitan dengan Python 2 telah dihilangkan dan seluruh contoh
kode program sudah dikonversi ke dalam Python 3 (menggunakan
Python 3.7.2). Materi baru yang ditambahkan adalah pemrograman
GUI menggunakan PyQt dan pemrograman web menggunakan Flask.
Materi tentang web menggunakan teknologi
Common Gateway Interface (CGI) dihilangkan."
22,TERMURAH ORIGINAL Buku Deep Learning Modernisasi Machine Learning,Rp55.100,Terjual 89 Produk,Baru,Opsional,320gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Pengarang : Dr. Suyanto, Kurniawan Nur Ramadhani, Satria Mandala
Tahun Terbit : Oktober 2019
Penerbit : Informatika
Tebal : 250 Halaman

Unsupervised Learning | Convolutional Neural Networks | Capsule Networks | Recurrent
Neural Networks | Deep Reinforcement Learning | Lifelong Learning | Evolving
Deep Neural Networks | Seleksi dan Estimasi Model | Pemrosesan Teks | Pemrosesan
Citra | Pemrosesan Suara | Pemrosesan Video | Pemrosesan Multimodal

Buku ini memberikan penjelasan dan ilustrasi sederhana mengenai konsep dasar dari
empat pendekatan DL serta aplikasinya dalam berbagai bidang terkini berkaitan
dengan big data yang tidak terstruktur:teks, citra suara, dan video Buku ini
juga mendiskusikan penelitian awal tentang pengenalan ucapan audiovisual Bahasa
Indonesia. Pembahasan diberikan dari konsep dasar paling simpel dan secara
perlahan ke ide-ide besar yang semakin kompleks. Setiap model dibahas dari ide
dasar, motivasi, visualisasi, formulasi matematis, hingga contoh aplikasinya."
